Rank,grid_id,Predicted_Crime_Count,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
1,1299,9,202302,-82.5423775208,27.3432658249,27.34258400547851,-82.54314510152564,27.343947644321492,-82.54160994007437,"[(np.float64(27.34258400547851), np.float64(-82.54314510152564)), (np.float64(27.343947644321492), np.float64(-82.54160994007437))]"
2,1876,7,202302,-82.5454713298,27.3460045531,27.345322733678508,-82.54623892949932,27.34668637252149,-82.54470373010066,"[(np.float64(27.345322733678508), np.float64(-82.54623892949932)), (np.float64(27.34668637252149), np.float64(-82.54470373010066))]"
3,1427,4,202302,-82.5301150717,27.3556913992,27.35500957977851,-82.5308827385306,27.356373218621492,-82.5293474048694,"[(np.float64(27.35500957977851), np.float64(-82.5308827385306)), (np.float64(27.356373218621492), np.float64(-82.5293474048694))]"
4,881,4,202302,-82.5408039673,27.3363949798,27.33571316037851,-82.54157150043683,27.337076799221492,-82.54003643416316,"[(np.float64(27.33571316037851), np.float64(-82.54157150043683)), (np.float64(27.337076799221492), np.float64(-82.54003643416316))]"
5,193,4,202302,-82.542344042,27.3363890098,27.33570719037851,-82.5431115750955,27.337070829221492,-82.5415765089045,"[(np.float64(27.33570719037851), np.float64(-82.5431115750955)), (np.float64(27.337070829221492), np.float64(-82.5415765089045))]"
6,449,3,202302,-82.5408106431,27.3377703438,27.33708852437851,-82.54157818576152,27.33845216322149,-82.54004310043848,"[(np.float64(27.33708852437851), np.float64(-82.54157818576152)), (np.float64(27.33845216322149), np.float64(-82.54004310043848))]"
7,2125,3,202302,-82.5331760006,27.3515535829,27.35087176347851,-82.5339436387508,27.35223540232149,-82.53240836244919,"[(np.float64(27.35087176347851), np.float64(-82.5339436387508)), (np.float64(27.35223540232149), np.float64(-82.53240836244919))]"
8,910,2,202302,-82.5423507368,27.3377643733,27.33708255387851,-82.54311827942017,27.33844619272149,-82.54158319417984,"[(np.float64(27.33708255387851), np.float64(-82.54311827942017)), (np.float64(27.33844619272149), np.float64(-82.54158319417984))]"
9,2571,2,202302,-82.5284768295,27.3350667625,27.334384943078508,-82.5292443534393,27.33574858192149,-82.52770930556069,"[(np.float64(27.334384943078508), np.float64(-82.5292443534393)), (np.float64(27.33574858192149), np.float64(-82.52770930556069))]"
10,2451,2,202302,-82.5331957597,27.3556796701,27.354997850678508,-82.5339634264493,27.35636148952149,-82.53242809295071,"[(np.float64(27.354997850678508), np.float64(-82.5339634264493)), (np.float64(27.35636148952149), np.float64(-82.53242809295071))]"
11,1319,2,202302,-82.5501938965,27.3666168016,27.36593498217851,-82.55096163908568,27.36729862102149,-82.54942615391433,"[(np.float64(27.36593498217851), np.float64(-82.55096163908568)), (np.float64(27.36729862102149), np.float64(-82.54942615391433))]"
12,1661,1,202302,-82.5316751222,27.3598116289,27.35912980947851,-82.53244281759461,27.360493448321492,-82.53090742680538,"[(np.float64(27.35912980947851), np.float64(-82.53244281759461)), (np.float64(27.360493448321492), np.float64(-82.53090742680538))]"
13,1099,1,202302,-82.5424512159,27.3583947943,27.35771297487851,-82.54321890147153,27.35907661372149,-82.54168353032847,"[(np.float64(27.35771297487851), np.float64(-82.54321890147153)), (np.float64(27.35907661372149), np.float64(-82.54168353032847))]"
14,2348,1,202302,-82.5316816918,27.3611869903,27.360505170878508,-82.53244939673084,27.36186880972149,-82.53091398686917,"[(np.float64(27.360505170878508), np.float64(-82.53244939673084)), (np.float64(27.36186880972149), np.float64(-82.53091398686917))]"
15,140,1,202302,-82.5392638921,27.336400933,27.33571911357851,-82.54003142527806,27.33708275242149,-82.53849635892193,"[(np.float64(27.33571911357851), np.float64(-82.54003142527806)), (np.float64(27.33708275242149), np.float64(-82.53849635892193))]"
16,1189,1,202302,-82.542384218,27.3446411871,27.343959367678508,-82.5431518082537,27.34532300652149,-82.5416166277463,"[(np.float64(27.343959367678508), np.float64(-82.5431518082537)), (np.float64(27.34532300652149), np.float64(-82.5416166277463))]"
17,2184,1,202302,-82.5438908301,27.3377583859,27.33707656647851,-82.54465837267871,27.33844020532149,-82.54312328752128,"[(np.float64(27.33707656647851), np.float64(-82.54465837267871)), (np.float64(27.33844020532149), np.float64(-82.54312328752128))]"
18,2420,1,202302,-82.5454645941,27.3446291918,27.34394737237851,-82.5462321842706,27.34531101122149,-82.5446970039294,"[(np.float64(27.34394737237851), np.float64(-82.5462321842706)), (np.float64(27.34531101122149), np.float64(-82.5446970039294))]"
19,1314,1,202302,-82.5315831958,27.3405565411,27.33987472167851,-82.53235075775859,27.34123836052149,-82.5308156338414,"[(np.float64(27.33987472167851), np.float64(-82.53235075775859)), (np.float64(27.34123836052149), np.float64(-82.5308156338414))]"
20,2548,1,202302,-82.5470115361,27.3459985296,27.34531671017851,-82.5477791357576,27.34668034902149,-82.54624393644241,"[(np.float64(27.34531671017851), np.float64(-82.5477791357576)), (np.float64(27.34668034902149), np.float64(-82.54624393644241))]"
21,1198,1,202302,-82.5299318818,27.3171811377,27.31649931827851,-82.53069928194795,27.31786295712149,-82.52916448165205,"[(np.float64(27.31649931827851), np.float64(-82.53069928194795)), (np.float64(27.31786295712149), np.float64(-82.52916448165205))]"
